Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000226218,ENSG00000109072,ENST00000226218,0.936,0.951,PredHel=0,0.2232,"extr 24, lyso 5",0.905,P04004
ENSP00000226284,ENSG00000029559,ENST00000226284,0.85,0.952,PredHel=0,0.259437,"extr 26, E.R. 3",0.425,P21815
ENSP00000226460,ENSG00000109208,ENST00000226460,0.845,0.964,PredHel=0,0.325017,"extr 24, mito 5",0.758,Q99954
ENSP00000227665,ENSG00000110243,ENST00000227665,0.883,0.922,PredHel=0,0.897584,"extr 24, lyso 5",0.743,Q6Q788
ENSP00000228280,ENSG00000049130,ENST00000228280,0.807,0.962,PredHel=1,0.609279,"extr 30.5, extr_plas 16",0.182,P21583
ENSP00000228534,ENSG00000110944,ENST00000228534,0.872,0.873,PredHel=0,0.622142,"extr 28, lyso 3",0.636,Q9NPF7
ENSP00000228837,ENSG00000111241,ENST00000228837,0.316,0.736,PredHel=1,0.784519,"extr 19, mito 7, pero 3",0.938,P10767
ENSP00000229134,ENSG00000111536,ENST00000229134,0.847,0.829,PredHel=0,0.356367,"extr 19, mito 5.5, cyto_mito 3.5, plas 3, E.R",0.772,Q9NPH9
ENSP00000229243,ENSG00000111644,ENST00000229243,0.832,0.933,PredHel=0,0.883666,"extr 27.5, extr_plas 14.5",0.556,Q8NEB7
ENSP00000230568,ENSG00000112799,ENST00000230568,0.827,0.933,PredHel=0,0.417078,"extr 25, mito 3, lyso 3",0.865,O95711
ENSP00000230990,ENSG00000113070,ENST00000230990,0.826,0.929,PredHel=1,0.0852476,"extr 24, plas 4, pero 3",0.348,Q99075
ENSP00000231004,ENSG00000113083,ENST00000231004,0.886,0.938,PredHel=0,0.890106,"extr 28, lyso 2",0.691,P28300
ENSP00000231061,ENSG00000113140,ENST00000231061,0.939,0.91,PredHel=0,0.11621,"extr 26, cyto_mito 4",0.904,P09486
ENSP00000231449,ENSG00000113520,ENST00000231449,0.674,0.948,PredHel=0,0.423544,"extr 28, cyto 3",0.946,P05112
ENSP00000231454,ENSG00000113525,ENST00000231454,0.903,0.957,PredHel=0,0.953552,extr 30,0.946,P05113
ENSP00000231721,ENSG00000010319,ENST00000231721,0.826,0.812,PredHel=0,0.440136,"extr 14, plas 7, cyto 2, E.R. 2, pero 2, lyso",0.497,Q9NS98
ENSP00000231751,ENSG00000012223,ENST00000231751,0.939,0.925,PredHel=0,0.681215,"extr 23.5, extr_plas 12.5, E.R._golg 3.5, lys",0.404,P02788
ENSP00000233813,ENSG00000115461,ENST00000233813,0.863,0.964,PredHel=0,0.503465,"extr 28, E.R. 3",0.932,P24593
ENSP00000233954,ENSG00000115602,ENST00000233954,0.893,0.967,PredHel=1,0.675329,"extr 17, pero 10, plas 2",0.343,Q01638
ENSP00000234071,ENSG00000115718,ENST00000234071,0.819,0.869,PredHel=0,0.403594,"extr 17, nucl 7.5, cyto_nucl 5, lyso 4",0.777,P04070
ENSP00000234701,ENSG00000016490,ENST00000234701,0.798,0.953,PredHel=0,0.00329112,"extr 27, cyto_pero 2.5, cyto 2",0.613,A8K7I4
ENSP00000237837,ENSG00000118972,ENST00000237837,0.774,0.726,PredHel=0,0.681849,extr 30,0.959,Q9GZV9
ENSP00000238044,ENSG00000119147,ENST00000238044,0.839,0.954,PredHel=1,0.414754,"extr 26, E.R. 4",0.529,Q9H1Z8
ENSP00000238682,ENSG00000119699,ENST00000238682,0.851,0.97,PredHel=1,0.338968,"extr 16, E.R. 5.5, E.R._golg 5, golg 3.5, per",0.912,P10600
ENSP00000238983,ENSG00000182333,ENST00000238983,0.825,0.895,PredHel=0,0.0205086,"extr 21, cyto_nucl 5.5, cyto 4.5, nucl 3.5",0.777,P07098
ENSP00000239849,ENSG00000120659,ENST00000239849,0.129,0.159,PredHel=1,0.853526,"plas 13.5, extr_plas 7.5, mito 7, E.R. 7, E.R",0.923,O14788
ENSP00000241069,ENSG00000087085,ENST00000241069,0.841,0.989,PredHel=0,0.135377,"extr 21, lyso 8",0.637,P22303
ENSP00000242152,ENSG00000122585,ENST00000242152,0.837,0.958,PredHel=1,0.779134,extr 31,0.924,P01303
ENSP00000243611,ENSG00000123843,ENST00000243611,0.869,0.91,PredHel=0,0.576971,"extr 28, cyto 2, lyso 2",0.528,P20851
ENSP00000244241,ENSG00000124391,ENST00000244241,0.875,0.977,PredHel=0,0.303782,"extr 26, cyto 2, mito 2, cyto_mito 2",0.936,Q9P0M4
ENSP00000244728,ENSG00000124749,ENST00000244728,0.926,0.961,PredHel=0,0.412624,"extr 20, E.R. 5, plas 2, mito 2, lyso 2",0.121,Q96P44
ENSP00000244926,ENSG00000124935,ENST00000244926,0.879,0.989,PredHel=0,0.0313378,extr 32,0.901,O95969
ENSP00000245451,ENSG00000125378,ENST00000245451,0.79,0.966,PredHel=0,0.0631239,"extr 19, E.R. 7, golg 4",0.947,P12644
ENSP00000245810,ENSG00000125650,ENST00000245810,0.849,0.971,PredHel=0,0.975391,"extr 25, nucl 3, cyto 1, mito 1, E.R. 1, lyso",0.883,O60542
ENSP00000246020,ENSG00000125823,ENST00000246020,0.728,0.919,PredHel=0,0.599353,extr 31,0.966,Q9H114
ENSP00000246896,ENSG00000126550,ENST00000246896,0.913,0.92,PredHel=0,0.498454,extr 32,0.977,P15515
ENSP00000246949,ENSG00000213918,ENST00000246949,0.912,0.96,PredHel=1,0.81113,"extr 25, lyso 3, pero 2",0.819,P24855
ENSP00000247005,ENSG00000130283,ENST00000247005,0.849,0.987,PredHel=0,0.613867,"extr 27, pero 2, lyso 2",0.891,P27539
ENSP00000247020,ENSG00000132581,ENST00000247020,0.886,0.831,PredHel=0,0.255591,"extr 27, lyso 3",0.706,Q99470
ENSP00000248701,ENSG00000128040,ENST00000248701,0.876,0.94,PredHel=1,0.0631283,"extr 24, mito 5",0.566,P20155
ENSP00000249330,ENSG00000128564,ENST00000249330,0.867,0.869,PredHel=0,0.651341,"extr 18, lyso 6, E.R. 5.5, E.R._golg 4.5",0.314,O15240
ENSP00000249842,ENSG00000129009,ENST00000249842,0.939,0.97,PredHel=0,1.50E-07,"extr 17, plas 3, cyto 3, E.R. 3, lyso 3, cyto",0.632,O14498
ENSP00000250340,ENSG00000105472,ENST00000250340,0.741,0.937,PredHel=0,0.740552,"mito 13, extr 9, cyto_mito 9, cyto 4.5, extr_",0.902,Q9Y240
ENSP00000250366,ENSG00000269741,ENST00000250366,0.856,0.967,PredHel=0,0.833202,"extr 28, lyso 2",0.822,Q9UKQ9
ENSP00000250378,ENSG00000092009,ENST00000250378,0.911,0.972,PredHel=0,0.718755,extr 31,0.95,P23946
ENSP00000250971,ENSG00000254647,ENST00000250971,0.891,0.973,PredHel=0,0.955087,extr 32,0.974,P01308
ENSP00000252453,ENSG00000130173,ENST00000252453,0.903,0.967,PredHel=0,0.884951,"extr 25, mito 5",0.92,Q6UXH0
ENSP00000252486,ENSG00000130203,ENST00000252486,0.919,0.968,PredHel=0,0.705533,"extr 25, mito 3, E.R. 2, lyso 2",0.846,P02649
ENSP00000252575,ENSG00000130287,ENST00000252575,0.898,0.964,PredHel=0,0.0944501,"extr 23, extr_plas 13, E.R. 5",0.285,O14594
ENSP00000252723,ENSG00000130427,ENST00000252723,0.883,0.969,PredHel=1,0.732805,extr 31,0.912,P01588
ENSP00000252809,ENSG00000130513,ENST00000252809,0.835,0.928,PredHel=0,0.941643,"extr 25, cyto_pero 4, cyto 3.5",0.902,Q99988
ENSP00000253451,ENSG00000131142,ENST00000253451,0.826,0.973,PredHel=0,0.0557621,"extr 27, lyso 3",0.574,O15444
ENSP00000253496,ENSG00000131187,ENST00000253496,0.897,0.94,PredHel=0,0.928378,"extr 25, E.R. 4",0.547,P00748
ENSP00000255039,ENSG00000132702,ENST00000255039,0.832,0.882,PredHel=0,0.845629,"extr 20, pero 4, mito 3, cyto_pero 3",0.674,Q9GZV7
ENSP00000255409,ENSG00000133048,ENST00000255409,0.85,0.887,PredHel=0,0.972752,"extr 27, mito 2, lyso 2",0.574,P36222
ENSP00000256585,ENSG00000134193,ENST00000256585,0.868,0.864,PredHel=0,0.407745,extr 29,0.918,Q9BYZ8
ENSP00000256785,ENSG00000134389,ENST00000256785,0.9,0.962,PredHel=0,0.282344,"extr 27, E.R. 3",0.636,Q9BXR6
ENSP00000257359,ENSG00000134917,ENST00000257359,0.945,0.923,PredHel=0,0.340377,"extr 22, lyso 4, E.R. 3",0.578,Q9UP79
ENSP00000257696,ENSG00000135245,ENST00000257696,0.453,0.966,PredHel=1,0.933749,extr 32,0.932,Q9Y5L2
ENSP00000257868,ENSG00000135414,ENST00000257868,0.833,0.959,PredHel=0,0.169919,"extr 23, E.R. 5, lyso 4",0.909,O95390
ENSP00000258083,ENSG00000135617,ENST00000258083,0.868,0.935,PredHel=1,0.0660409,"extr 21, plas 6, mito 2, lyso 2",0.356,Q9BSG0
ENSP00000259206,ENSG00000136689,ENST00000259206,0.105,0.069,PredHel=0,0.235452,"cyto 16.5, cyto_nucl 11.5, extr 8, nucl 5.5",0.923,P18510
ENSP00000259396,ENSG00000229314,ENST00000259396,0.94,0.982,PredHel=0,0.559271,"extr 22, E.R. 6, mito 2, lyso 2",0.559,P02763
ENSP00000259526,ENSG00000136999,ENST00000259526,0.898,0.93,PredHel=0,0.839921,"extr 27, lyso 4",0.898,P48745
ENSP00000259631,ENSG00000213927,ENST00000259631,0.874,0.966,PredHel=0,0.396358,extr 30,0.918,Q9Y4X3
ENSP00000259726,ENSG00000137197,ENST00000259726,0.927,0.852,PredHel=1,0.988535,"extr 20, lyso 8, cyto 2, mito 2, cyto_mito 2",0.351,Q15517
ENSP00000259845,ENSG00000204538,ENST00000259845,0.851,0.941,PredHel=0,0.377524,"extr 21, mito 6, pero 3, cyto_mito 3, mito_nu",0.712,Q9UIG4
ENSP00000259870,ENSG00000204542,ENST00000259870,0.844,0.958,PredHel=0,0.311381,"extr 28, pero 2",0.808,Q6UXA7
ENSP00000259875,ENSG00000137332,ENST00000259875,0.807,0.944,PredHel=1,0.989145,"extr 19, E.R. 5, lyso 3, plas 2, pero 2",0.127,Q08345
ENSP00000260118,ENSG00000137563,ENST00000260118,0.827,0.972,PredHel=0,0.222501,"extr 20, E.R. 8, plas 1, cyto 1, pero 1, lyso",0.676,Q92820
ENSP00000260227,ENSG00000137673,ENST00000260227,0.887,0.937,PredHel=0,0.0544052,"extr 27, E.R. 2, lyso 2",0.641,P09237
ENSP00000260595,ENSG00000138028,ENST00000260595,0.912,0.952,PredHel=0,0.128315,"extr 21, E.R. 3, plas 2, mito 2, golg 2",0.814,Q99674
ENSP00000261172,ENSG00000083782,ENST00000261172,0.749,0.948,PredHel=0,0.0499336,"extr 23, E.R. 6",0.876,Q99645
ENSP00000261267,ENSG00000090382,ENST00000261267,0.857,0.939,PredHel=0,0.0441812,extr 32,0.906,P61626
ENSP00000261292,ENSG00000101670,ENST00000261292,0.689,0.935,PredHel=0,0.523161,"extr 20, nucl 3.5, cyto_nucl 3, lyso 3, plas ",0.905,Q9Y5X9
ENSP00000261336,ENSG00000126838,ENST00000261336,0.839,0.947,PredHel=0,0.632557,"extr 17.5, E.R. 10.5, extr_plas 10, E.R._golg",0.574,P20742
ENSP00000261405,ENSG00000110799,ENST00000261405,0.922,0.84,PredHel=0,0.0920218,"extr 26, E.R. 3, lyso 3",0.5,P04275
ENSP00000261862,ENSG00000187720,ENST00000261862,0.868,0.82,PredHel=0,0.950102,"extr 26, lyso 3, E.R. 2.5",0.605,Q6ZMP0
ENSP00000262464,ENSG00000138829,ENST00000262464,0.844,0.949,PredHel=1,0.849264,"extr 21, E.R. 3, pero 3, lyso 2, E.R._mito 2,",0.473,P35556
ENSP00000262648,ENSG00000011201,ENST00000262648,0.849,0.949,PredHel=0,0.408019,"extr 24, E.R._golg 4, E.R. 3.5, golg 3.5",0.55,P23352
ENSP00000262722,ENSG00000077942,ENST00000262722,0.869,0.961,PredHel=0,0.00492721,"extr 27.5, extr_plas 14.5",0.642,P23142
ENSP00000262768,ENSG00000035862,ENST00000262768,0.938,0.871,PredHel=0,0.180177,"extr 28, cyto_mito 3",0.834,P16035
ENSP00000262947,ENSG00000074842,ENST00000262947,0.88,0.923,PredHel=0,0.246263,"extr 28, mito 2",0.924,Q969H8
ENSP00000263100,ENSG00000121410,ENST00000263100,0.875,0.95,PredHel=0,0.948224,"extr 20, lyso 6, E.R. 4",0.795,P04217
ENSP00000263598,ENSG00000160349,ENST00000263598,0.812,0.951,PredHel=0,0.804216,extr 31,0.958,P31025
ENSP00000263851,ENSG00000104432,ENST00000263851,0.739,0.947,PredHel=0,0.777005,extr 29,0.935,P13232
ENSP00000263863,ENSG00000115523,ENST00000263863,0.847,0.911,PredHel=0,0.889661,extr 29,0.952,P22749
ENSP00000264094,ENSG00000115318,ENST00000264094,0.916,0.973,PredHel=0,0.421659,"extr 27, E.R. 2, lyso 2",0.617,P58215
ENSP00000264144,ENSG00000058085,ENST00000264144,0.901,0.856,PredHel=0,0.760766,"extr 20, extr_plas 13.5, plas 5, lyso 5",0.386,Q13753
ENSP00000264497,ENSG00000138684,ENST00000264497,0.701,0.887,PredHel=0,0.872264,extr 30,0.902,Q9HBE4
ENSP00000264553,ENSG00000197540,ENST00000264553,0.768,0.972,PredHel=1,0.778645,"extr 25, cyto 2, lyso 2",0.95,P51124
ENSP00000264563,ENSG00000095752,ENST00000264563,0.771,0.762,PredHel=0,0.0281293,"extr 27, mito 3",0.815,P20809
ENSP00000264677,ENSG00000114204,ENST00000264677,0.887,0.975,PredHel=0,0.295688,"extr 14, E.R. 10, plas 5, E.R._mito 5, E.R._g",0.697,O75830
ENSP00000264708,ENSG00000115138,ENST00000264708,0.823,0.885,PredHel=0,0.305184,"extr 27, mito 5",0.843,P01189
ENSP00000264828,ENSG00000080573,ENST00000264828,0.827,0.919,PredHel=0,0.846411,"extr 14, E.R. 7, lyso 7, golg 3",0.05,P25940
ENSP00000265132,ENSG00000106927,ENST00000265132,0.935,0.972,PredHel=0,0.379362,"extr 27, lyso 4",0.715,P02760
ENSP00000265342,ENSG00000053108,ENST00000265342,0.823,0.944,PredHel=0,0.933809,"extr 14, mito 6, nucl 5, lyso 3, E.R._mito 3",0.59,Q6MZW2
ENSP00000265441,ENSG00000105989,ENST00000265441,0.867,0.954,PredHel=0,0.189919,"extr 25, lyso 3, cyto_pero 3",0.906,P09544
ENSP00000266003,ENSG00000096395,ENST00000266003,0.787,0.938,PredHel=1,0.688137,"extr 25, E.R. 4",0.941,P12872
ENSP00000266031,ENSG00000114378,ENST00000266031,0.883,0.877,PredHel=0,0.0871239,"extr 26, lyso 4",0.791,Q12794
ENSP00000266646,ENSG00000139269,ENST00000266646,0.921,0.948,PredHel=0,0.613751,"extr 25, lyso 3, nucl 1, cyto 1, E.R. 1, cyto",0.915,P58166
ENSP00000266718,ENSG00000139329,ENST00000266718,0.849,0.917,PredHel=0,0.961007,"extr 27, lyso 3",0.584,P51884
ENSP00000266719,ENSG00000139330,ENST00000266719,0.872,0.955,PredHel=0,0.0206478,"extr 17, pero 10, plas 2",0.718,O60938
ENSP00000266991,ENSG00000139549,ENST00000266991,0.82,0.932,PredHel=0,0.166534,"extr 19.5, extr_plas 11.5, lyso 4, golg 3, pl",0.723,O43323
ENSP00000267017,ENSG00000139574,ENST00000267017,0.891,0.946,PredHel=0,0.802004,extr 31,0.97,O15130
ENSP00000267406,ENSG00000139899,ENST00000267406,0.819,0.962,PredHel=0,0.0623489,"extr 27, cyto 3",0.783,Q6UW01
ENSP00000268150,ENSG00000140545,ENST00000268150,0.806,0.869,PredHel=0,0.00921151,"extr 27, lyso 2, golg 2",0.712,Q08431
ENSP00000268281,ENSG00000178226,ENST00000268281,0.672,0.936,PredHel=0,4.37E-06,"extr 24, lyso 4, pero 3",0.804,Q5K4E3
ENSP00000269299,ENSG00000141505,ENST00000269299,0.14,0.117,PredHel=1,0.580712,"plas 8.5, extr_plas 7.5, cyto 6.5, cyto_mito ",0.907,P07306
ENSP00000269593,ENSG00000141753,ENST00000269593,0.828,0.955,PredHel=0,0.798704,extr 31,0.903,P22692
ENSP00000270631,ENSG00000142538,ENST00000270631,0.918,0.966,PredHel=1,0.983868,"extr 23, E.R. 4, golg 4, E.R._golg 4",0.918,Q96A98
ENSP00000270642,ENSG00000142549,ENST00000270642,0.617,0.868,PredHel=0,8.01E-07,"extr 25, lyso 5",0.57,A6NGN9
ENSP00000271331,ENSG00000143125,ENST00000271331,0.846,0.973,PredHel=0,0.035017,extr 32,0.932,P58294
ENSP00000271643,ENSG00000143382,ENST00000271643,0.917,0.975,PredHel=0,0.967152,"extr 26, lyso 3",0.57,Q6UY14
ENSP00000272134,ENSG00000243709,ENST00000272134,0.903,0.98,PredHel=0,0.879031,"extr 18, lyso 5, mito 4, cyto_pero 2.5, nucl ",0.507,O75610
ENSP00000273610,ENSG00000145040,ENST00000273610,0.871,0.923,PredHel=1,0.815981,"extr 20, plas 10",0.588,Q96RP3
ENSP00000274063,ENSG00000145423,ENST00000274063,0.806,0.935,PredHel=0,0.159005,extr 29,0.921,Q96HF1
ENSP00000274507,ENSG00000145826,ENST00000274507,0.904,0.935,PredHel=0,0.980585,"extr 28, lyso 4",0.815,O14960
ENSP00000274520,ENSG00000145839,ENST00000274520,0.849,0.975,PredHel=0,0.119935,extr 30,0.957,P15248
ENSP00000274625,ENSG00000156427,ENST00000274625,0.881,0.985,PredHel=0,0.276041,"extr 28, lyso 4",0.79,O76093
ENSP00000275358,ENSG00000146530,ENST00000275358,0.9,0.916,PredHel=0,0.125956,"extr 24, nucl 3, cyto 2",0.596,Q8N2E2
ENSP00000276935,ENSG00000178031,ENST00000276935,0.88,0.952,PredHel=0,0.0681414,"extr 20, lyso 10, extr_plas 10",0.587,Q8N6G6
ENSP00000277415,ENSG00000130558,ENST00000277415,0.731,0.939,PredHel=0,0.812544,"extr 28, pero 3",0.925,Q99784
ENSP00000277480,ENSG00000148346,ENST00000277480,0.873,0.958,PredHel=0,0.43452,"extr 14, mito 5, cyto 4, mito_nucl 4, nucl 3,",0.938,P80188
ENSP00000277526,ENSG00000148386,ENST00000277526,0.861,0.861,PredHel=0,0.336976,"extr 28, mito 2",0.745,Q8WX39
ENSP00000278222,ENSG00000148965,ENST00000278222,0.709,0.886,PredHel=0,0.533002,extr 29,0.901,P35542
ENSP00000278282,ENSG00000149021,ENST00000278282,0.865,0.967,PredHel=0,0.306859,extr 30,0.945,P11684
ENSP00000278407,ENSG00000149131,ENST00000278407,0.859,0.958,PredHel=0,0.207891,"extr 21, E.R. 7.5, E.R._golg 5",0.685,P05155
ENSP00000278855,ENSG00000149507,ENST00000278855,0.829,0.991,PredHel=0,0.413578,"extr 22, plas 6, E.R. 2, lyso 2",0.952,Q86WS3
ENSP00000279168,ENSG00000149735,ENST00000279168,0.859,0.972,PredHel=0,0.809514,extr 30,0.935,Q96T91
ENSP00000279441,ENSG00000166670,ENST00000279441,0.947,0.955,PredHel=0,0.428713,"extr 18, E.R. 11, extr_plas 11",0.515,P09238
ENSP00000280082,ENSG00000150526,ENST00000280082,0.63,0.75,PredHel=0,0.0151795,"extr 17, mito 13",0.657,Q96PC5
ENSP00000280258,ENSG00000150687,ENST00000280258,0.873,0.969,PredHel=0,0.100747,"extr 27, lyso 3",0.761,O95084
ENSP00000280527,ENSG00000150938,ENST00000280527,0.826,0.9,PredHel=1,0.267158,"extr 24, E.R. 5, pero 2.5, E.R._mito 2.5, E.R",0.443,Q9NZV1
ENSP00000282470,ENSG00000152583,ENST00000282470,0.873,0.816,PredHel=0,0.526079,"extr 25, mito 4",0.405,Q14515
ENSP00000282479,ENSG00000152592,ENST00000282479,0.92,0.93,PredHel=0,0.0960529,"extr 27, E.R. 2, lyso 2",0.213,Q13316
ENSP00000282701,ENSG00000152785,ENST00000282701,0.891,0.803,PredHel=0,0.194531,"extr 24, pero 3, E.R. 2.5, lyso 2, E.R._golg ",0.922,P12645
ENSP00000282957,ENSG00000153002,ENST00000282957,0.806,0.832,PredHel=0,0.934317,"extr 17, E.R. 13",0.716,P15086
ENSP00000284818,ENSG00000154589,ENST00000284818,0.666,0.886,PredHel=0,0.870469,extr 30,0.913,Q9Y6Y9
ENSP00000284987,ENSG00000154736,ENST00000284987,0.81,0.898,PredHel=0,0.445628,"extr 20, cyto_nucl 4, nucl 3.5, E.R. 3.5, E.R",0.344,Q9UNA0
ENSP00000285311,ENSG00000155011,ENST00000285311,0.735,0.879,PredHel=0,0.0827863,extr 32,0.919,Q9UBU2
ENSP00000285599,ENSG00000013288,ENST00000285599,0.821,0.93,PredHel=0,0.546414,"extr 14, lyso 9, mito 4, pero 3",0.633,Q9Y2E5
ENSP00000286149,ENSG00000155719,ENST00000286149,0.741,0.945,PredHel=0,9.10E-06,"extr 22, mito 4, lyso 4",0.567,Q7RTW8
